shortname: benhoyt_goawk-BuiltinGsubAmpersand
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
WalkAllDepthFirstGnp_100_half,0.000425254,2%,0.0012356230000000001,3%,+190.56%,p=0.008 n=5,0.0010248240000000001,2%,+140.99%,p=0.008 n=5
geomean,0.000425254,,0.001235623,,+190.56%,,0.0010248240000000004,,+140.99%,

shortname: gproto_encoding-TextDecode
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
TextDecode,0.036883956,1%,0.14462417800000002,1%,+292.11%,p=0.008 n=5,0.113495912,0%,+207.71%,p=0.008 n=5
geomean,0.036883955999999996,,0.14462417800000005,,+292.11%,,0.11349591199999998,,+207.71%,

shortname: gproto_json-Bool
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Bool,5.696e-08,0%,3.35e-07,3%,+488.13%,p=0.008 n=5,2.991e-07,9%,+425.11%,p=0.008 n=5
geomean,5.6960000000000035e-08,,3.350000000000002e-07,,+488.13%,,2.991000000000002e-07,,+425.11%,

shortname: gproto_json-Int
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Int,2.1550000000000002e-07,0%,8.366000000000001e-07,1%,+288.21%,p=0.008 n=5,6.695e-07,1%,+210.67%,p=0.008 n=5
geomean,2.1549999999999986e-07,,8.366000000000002e-07,,+288.21%,,6.695000000000002e-07,,+210.67%,

shortname: gproto_proto-Decode%2Fbasic_scalar_types_%28%2Atest.TestAllTypes%29
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Decode,1.2760000000000001e-06,3%,1.2525000000000001e-05,1%,+881.58%,p=0.008 n=5,9.686e-06,2%,+659.09%,p=0.008 n=5
geomean,1.2759999999999997e-06,,1.2524999999999998e-05,,+881.58%,,9.686000000000007e-06,,+659.09%,

shortname: gproto_proto-Decode%2Fjust_at_recursion_limit_%28%2Atest3.TestAllTypes%29
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Decode,1.224e-06,1%,1.3591e-05,2%,+1010.38%,p=0.008 n=5,1.0577e-05,8%,+764.13%,p=0.008 n=5
geomean,1.2240000000000011e-06,,1.3590999999999994e-05,,+1010.38%,,1.0577000000000002e-05,,+764.13%,

shortname: gproto_proto-EqualWithDeeplyNestedEqual
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
EqualWithDeeplyNestedEqual,5.0539000000000005e-05,5%,0.000758788,0%,+1401.39%,p=0.008 n=5,0.000625319,1%,+1137.30%,p=0.008 n=5
geomean,5.0538999999999985e-05,,0.0007587880000000004,,+1401.39%,,0.0006253190000000002,,+1137.30%,

shortname: gproto_reflect-Value%2FInterface
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Value,2.7920000000000005e-08,1%,2.3530000000000003e-08,1%,-15.72%,p=0.008 n=5,2.1790000000000002e-08,2%,-21.96%,p=0.008 n=5
geomean,2.792000000000001e-08,,2.3529999999999983e-08,,-15.72%,,2.1790000000000012e-08,,-21.96%,

shortname: k8s_cache-EachListItemWithAlloc%2FPodList
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
